,Link,Posisi,Perusahaan,Kota,Gaji,Tanggal
10,https://www.jobstreet.co.id//id/job/administration-staff-4104392?jobId=jobstreet-id-job-4104392&sectionRank=11&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Administration Staff,PT Chemco Prima Mandiri,Semarang,N/A,2 hari yang lalu
11,https://www.jobstreet.co.id//id/job/inventory-control-4106303?jobId=jobstreet-id-job-4106303&sectionRank=12&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Inventory Control,PT. ICCS Global Industries,Semarang,IDR 3 jt - 4 jt  per bulan ,1 hari yang lalu
12,https://www.jobstreet.co.id//id/job/staff-accounting-finance-4106948?jobId=jobstreet-id-job-4106948&sectionRank=13&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staff Accounting & Finance,Sekolah Tinggi Ilmu Kesehatan Telogorejo Semarang,Semarang,N/A,9 jam yang lalu
13,https://www.jobstreet.co.id//id/job/hrd-staff-4106223?jobId=jobstreet-id-job-4106223&sectionRank=14&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,HRD STAFF,PT. ICCS Global Industries,Semarang,IDR 3 jt - 4 jt  per bulan ,1 hari yang lalu
14,https://www.jobstreet.co.id//id/job/bancassurance-specialist-bas-semarang-lasem-randudongkal-4106687?jobId=jobstreet-id-job-4106687&sectionRank=15&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,"BANCASSURANCE SPECIALIST (BAS) SEMARANG, LASEM, RANDUDONGKAL",PT BNI Life Insurance,Semarang,"IDR 2,2 jt - 4,2 jt  per bulan ",22 jam yang lalu
15,https://www.jobstreet.co.id//id/job/staff-it-helpdesk-based-semarang-bali-jakarta-4107063?jobId=jobstreet-id-job-4107063&sectionRank=16&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,"Staff IT Helpdesk - Based Semarang, Bali, Jakarta",PT Nettocyber Indonesia,"Semarang, Bali, Jakarta Raya",N/A,19 jam yang lalu
16,https://www.jobstreet.co.id//id/job/sourcing-4107527?jobId=jobstreet-id-job-4107527&sectionRank=17&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Sourcing,PT Global Furnika Mandiri,Semarang,N/A,8 jam yang lalu
17,https://www.jobstreet.co.id//id/job/supervisor-accounting-4108093?jobId=jobstreet-id-job-4108093&sectionRank=18&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,"Supervisor, Accounting",ASIA PULP AND PAPER,Semarang,N/A,14 menit yang lalu
18,https://www.jobstreet.co.id//id/job/operator-mesin-cetak-4107314?jobId=jobstreet-id-job-4107314&sectionRank=19&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Operator Mesin Cetak,PT Muliaform Grafido,Semarang,N/A,18 jam yang lalu
19,https://www.jobstreet.co.id//id/job/staff-desain-grafis-4107293?jobId=jobstreet-id-job-4107293&sectionRank=20&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staff Desain Grafis,PT Muliaform Grafido,Semarang,N/A,18 jam yang lalu
20,https://www.jobstreet.co.id//id/job/distributor-lubricant-engineer-semarang-dan-malang-4107603?jobId=jobstreet-id-job-4107603&sectionRank=21&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Distributor Lubricant Engineer (Semarang dan Malang),PT Victori Sindo Utama,"Malang, Semarang",N/A,16 jam yang lalu
21,https://www.jobstreet.co.id//id/job/teknisi-elektrikal-4107780?jobId=jobstreet-id-job-4107780&sectionRank=22&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,TEKNISI ELEKTRIKAL,PT SUPERHELINDO JAYA,"Jakarta Raya, Semarang, Bandung",N/A,15 jam yang lalu
22,https://www.jobstreet.co.id//id/job/staff-r-d-analytical-development-4108040?jobId=jobstreet-id-job-4108040&sectionRank=23&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staff R&D Analytical Development,PT Erela,Semarang,N/A,37 menit yang lalu
23,https://www.jobstreet.co.id//id/job/admin-kredit-4104501?jobId=jobstreet-id-job-4104501&sectionRank=24&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Admin Kredit,P.T. Bank Bumi Arta Tbk.,Semarang,N/A,2 hari yang lalu
24,https://www.jobstreet.co.id//id/job/marketing-officer-4107141?jobId=jobstreet-id-job-4107141&sectionRank=25&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,MARKETING OFFICER,PT Putra Sukses Mulia,Semarang,IDR 4 jt - 8 jt  per bulan ,19 jam yang lalu
25,https://www.jobstreet.co.id//id/job/staff-desain-4105638?jobId=jobstreet-id-job-4105638&sectionRank=26&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staff Desain,Apotek Sarika,Semarang,"IDR 2,8 jt - 3 jt  per bulan ",1 hari yang lalu
26,https://www.jobstreet.co.id//id/job/store-manager-semarang-4106972?jobId=jobstreet-id-job-4106972&sectionRank=27&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Store Manager - Semarang,PT Anugerah Roastery Abadi Harum (ARAH COFFEE),Semarang,N/A,20 jam yang lalu
27,https://www.jobstreet.co.id//id/job/daily-worker-contact-center-agent-4108034?jobId=jobstreet-id-job-4108034&sectionRank=28&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Daily Worker - Contact Center Agent,(PT Mitracomm Ekasarana),Semarang,"IDR 2,9 jt - 3,1 jt  per bulan ",40 menit yang lalu
28,https://www.jobstreet.co.id//id/job/pelaksana-proyek-4105845?jobId=jobstreet-id-job-4105845&sectionRank=29&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Pelaksana Proyek,PT TRITUNGGAL ANUGRAH SEMARANG,Semarang,N/A,2 hari yang lalu
29,https://www.jobstreet.co.id//id/job/supervisor-produksi-liquid-oral-powder-effervescent-4108047?jobId=jobstreet-id-job-4108047&sectionRank=30&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,"Supervisor Produksi Liquid,Oral Powder,Effervescent",PT Erela,Semarang,N/A,36 menit yang lalu
30,https://www.jobstreet.co.id//id/job/sales-trainer-4087599?jobId=jobstreet-id-job-4087599&sectionRank=31&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,SALES TRAINER,CV Sentosa Indika Bunga Tanjung,Semarang,N/A,6 jam yang lalu
31,https://www.jobstreet.co.id//id/job/assman-r-d-packaging-development-4108041?jobId=jobstreet-id-job-4108041&sectionRank=32&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Assman R&D Packaging Development,PT Erela,Semarang,N/A,37 menit yang lalu
32,https://www.jobstreet.co.id//id/job/guest-relation-officer-penempatan-jakarta-tangerang-bandung-tasikmalaya-bekasi-cirebon-semarang-solo-kalimantan-4106488?jobId=jobstreet-id-job-4106488&sectionRank=33&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,"Guest Relation Officer (Penempatan Jakarta, Tangerang, Bandung, Tasikmalaya, Bekasi, Cirebon, Semarang, Solo, Kalimantan)",ZAP Clinic (PT. Zulu Alpha Papa),"Bekasi, Jakarta Selatan, Malang, Semarang, Kalimantan Selatan, Manado",N/A,23 jam yang lalu
33,https://www.jobstreet.co.id//id/job/pengurus-trucking-dispatcher-penempatan%3A-semarang-dan-grobogan-jateng-4105855?jobId=jobstreet-id-job-4105855&sectionRank=34&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,PENGURUS TRUCKING (DISPATCHER) PENEMPATAN:  SEMARANG DAN GROBOGAN JATENG,PT Sumber Urip Sejati,Semarang,N/A,1 hari yang lalu
34,https://www.jobstreet.co.id//id/job/senior-accountant-4106252?jobId=jobstreet-id-job-4106252&sectionRank=35&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Senior Accountant,PT. ICCS Global Industries,Semarang,"IDR 3,5 jt - 4 jt  per bulan ",1 hari yang lalu
35,https://www.jobstreet.co.id//id/job/credit-marketing-officer-used-car-jawa-tengah-4107682?jobId=jobstreet-id-job-4107682&sectionRank=36&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Credit Marketing Officer Used Car (Jawa Tengah),"PT Clipan Finance Indonesia, Tbk","Kudus, Purwokerto, Semarang, Salatiga, Yogyakarta",N/A,16 jam yang lalu
36,https://www.jobstreet.co.id//id/job/sales-distribution-associate-modern-trade-domisili-tangerang-dan-semarang-4105128?jobId=jobstreet-id-job-4105128&sectionRank=37&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales & Distribution Associate - Modern Trade (Domisili Tangerang dan Semarang),PT Lampbond Indonesia,"Bekasi, Cileungsi, Semarang, Tangerang","IDR 4,5 jt - 7 jt  per bulan ",1 hari yang lalu
37,https://www.jobstreet.co.id//id/job/supervisor-qa-4105672?jobId=jobstreet-id-job-4105672&sectionRank=38&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Supervisor QA,PT Erlimpex,Semarang,N/A,1 hari yang lalu
38,https://www.jobstreet.co.id//id/job/sales-leader-kosmetik-4105026?jobId=jobstreet-id-job-4105026&sectionRank=39&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales Leader Kosmetik,PT Tancorp Abadi Nusantara,"Semarang, Surakarta, Surabaya, Makassar, Yogyakarta",N/A,1 hari yang lalu
39,https://www.jobstreet.co.id//id/job/teknisi-gedung-yogyakarta-4105619?jobId=jobstreet-id-job-4105619&sectionRank=40&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Teknisi Gedung -  Yogyakarta,PT ISS INDONESIA (Bintaro),"Yogyakarta, Semarang, Surakarta",N/A,1 hari yang lalu
40,https://www.jobstreet.co.id//id/job/general-manager-4105723?jobId=jobstreet-id-job-4105723&sectionRank=41&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,GENERAL MANAGER,PT Ondel Teknologi Indonesia,"Jakarta Raya, Bandung, Surabaya, Semarang, Yogyakarta",N/A,1 hari yang lalu
41,https://www.jobstreet.co.id//id/job/sales-taking-order-sales-canvas-semarang-sekitarnya-4105033?jobId=jobstreet-id-job-4105033&sectionRank=42&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales Taking Order & Sales Canvas (Semarang & Sekitarnya),PT. Gosyen Solusi Indonesia,Semarang,N/A,1 hari yang lalu
42,https://www.jobstreet.co.id//id/job/marketing-development-program-jakarta-semarang-lampung-banjarmasin-4106065?jobId=jobstreet-id-job-4106065&sectionRank=43&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,"Marketing Development Program (Jakarta, Semarang, Lampung & Banjarmasin)",PT Asuransi Raksa Pratikara,"Jakarta Pusat, Semarang, Kalimantan Selatan, Bandar Lampung",N/A,1 hari yang lalu
43,https://www.jobstreet.co.id//id/job/guru-bahasa-jepang-online-part-time-4107702?jobId=jobstreet-id-job-4107702&sectionRank=44&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Guru Bahasa Jepang Online Part-time,Quadran Eduka Global,"Jakarta Raya, Bandung, Magelang, Semarang, Surakarta, Malang, Surabaya, Yogyakarta",N/A,16 jam yang lalu
44,https://www.jobstreet.co.id//id/job/legal-business-support-4105978?jobId=jobstreet-id-job-4105978&sectionRank=45&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Legal Business Support,PT Mitra Kasih Perkasa,Semarang,N/A,1 hari yang lalu
45,https://www.jobstreet.co.id//id/job/business-development-executive-4105438?jobId=jobstreet-id-job-4105438&sectionRank=46&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Business Development Executive,PT Tawada Healthcare,"Jakarta Barat, Sumatera Utara, Surabaya, Semarang, Makassar",N/A,1 hari yang lalu
46,https://www.jobstreet.co.id//id/job/telemarketing-4096546?jobId=jobstreet-id-job-4096546&sectionRank=47&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,TELEMARKETING,PT Chemco Prima Mandiri,Semarang,N/A,1 hari yang lalu
47,https://www.jobstreet.co.id//id/job/sales-retail-staff-rice-penempatan-%3A-semarang-4105751?jobId=jobstreet-id-job-4105751&sectionRank=48&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales Retail Staff (Rice) - Penempatan : Semarang,PT Sumber Energi Pangan,Semarang,N/A,1 hari yang lalu
48,https://www.jobstreet.co.id//id/job/sales-it-4105309?jobId=jobstreet-id-job-4105309&sectionRank=49&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales IT,PT Hipernet Indodata,"Bali, Bandung, Semarang, Surabaya, Makassar",IDR 5 jt - 8 jt  per bulan ,1 hari yang lalu
49,https://www.jobstreet.co.id//id/job/field-officer-provider-4105595?jobId=jobstreet-id-job-4105595&sectionRank=50&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Field Officer Provider,(PT Mitracomm Ekasarana),Semarang,"IDR 2,8 jt - 3 jt  per bulan ",1 hari yang lalu
50,https://www.jobstreet.co.id//id/job/supervisor-qa-gmp-compliance-4108043?jobId=jobstreet-id-job-4108043&sectionRank=51&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Supervisor QA GMP Compliance,PT Erela,Semarang,N/A,37 menit yang lalu
51,https://www.jobstreet.co.id//id/job/sales-project-4105029?jobId=jobstreet-id-job-4105029&sectionRank=52&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales Project,PT. Gosyen Solusi Indonesia,"Yogyakarta, Semarang",N/A,1 hari yang lalu
52,https://www.jobstreet.co.id//id/job/manager-digital-marketing-farmasi-4094965?jobId=jobstreet-id-job-4094965&sectionRank=53&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Manager Digital Marketing Farmasi,PT Erela,Semarang,N/A,1 hari yang lalu
53,https://www.jobstreet.co.id//id/job/mep-qs-structure-architect-drafter-qs-engineering-mep-supervisor-civil-supervisor-qaqc-engineer-procurement-logistic-site-manager-4104934?jobId=jobstreet-id-job-4104934&sectionRank=54&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,"MEP QS, STRUCTURE & ARCHITECT DRAFTER, QS ENGINEERING, MEP SUPERVISOR , CIVIL SUPERVISOR, QAQC ENGINEER, PROCUREMENT, LOGISTIC, SITE MANAGER",Perusahaan Dirahasiakan,"Jakarta Pusat, Semarang, Gresik, Pontianak, Ende, Serang",N/A,Perusahaan Dirahasiakan
54,https://www.jobstreet.co.id//id/job/admin-reporting-4101344?jobId=jobstreet-id-job-4101344&sectionRank=55&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,ADMIN REPORTING,(PT Mitracomm Ekasarana),Semarang,"IDR 3 jt - 3,5 jt  per bulan ",5 hari yang lalu
55,https://www.jobstreet.co.id//id/job/productivity-specialist-4100788?jobId=jobstreet-id-job-4100788&sectionRank=56&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Productivity Specialist,PT Korea Tomorrow & Global  Indonesia,"Sumatera Utara, Jakarta Raya, Semarang, Surabaya, Balikpapan, Makassar, Denpasar, Yogyakarta",N/A,5 hari yang lalu
56,https://www.jobstreet.co.id//id/job/staff-warehouse-4101401?jobId=jobstreet-id-job-4101401&sectionRank=57&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Staff Warehouse,PT Mas Silueta Indonesia,Semarang,N/A,5 hari yang lalu
57,https://www.jobstreet.co.id//id/job/art-director-4093975?jobId=jobstreet-id-job-4093975&sectionRank=58&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,ART DIRECTOR,PT Mamagreen Pacific,Semarang,N/A,2 hari yang lalu
58,https://www.jobstreet.co.id//id/job/supervisor-rnd-4106316?jobId=jobstreet-id-job-4106316&sectionRank=59&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Supervisor RnD,PT Erlimpex,Semarang,N/A,1 hari yang lalu
59,https://www.jobstreet.co.id//id/job/sales-associate-store-semarang-4105051?jobId=jobstreet-id-job-4105051&sectionRank=60&token=0~8ae37885-9f0e-495f-ab38-e2a42ef93b3b&fr=SRP%20View%20In%20New%20Tab,Sales Associate Store Semarang,Kurnia Ciptamoda Gemilang,Semarang,N/A,1 hari yang lalu
60,https://www.jobstreet.co.id//id/job/sales-consultant-showroom-semarang-4105197?jobId=jobstreet-id-job-4105197&sectionRank=61&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Sales Consultant Showroom (Semarang),PT. Satya Langgeng Sentosa,Semarang,N/A,1 hari yang lalu
61,https://www.jobstreet.co.id//id/job/collection-alat-berat-semarang-4092937?jobId=jobstreet-id-job-4092937&sectionRank=62&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Collection Alat Berat - Semarang,PT Buana Finance Tbk,Semarang,N/A,3 hari yang lalu
62,https://www.jobstreet.co.id//id/job/server-semarang-jogja-boga-group-4105883?jobId=jobstreet-id-job-4105883&sectionRank=63&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,SERVER SEMARANG & JOGJA BOGA GROUP,Boga Group,"Semarang, Yogyakarta",N/A,1 hari yang lalu
63,https://www.jobstreet.co.id//id/job/sales-executive-4093462?jobId=jobstreet-id-job-4093462&sectionRank=64&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Sales Executive,PT. YCM Mitra Indonesia,"Jakarta Utara, Semarang",N/A,2 hari yang lalu
64,https://www.jobstreet.co.id//id/job/staff-finance-dan-operasional-4103210?jobId=jobstreet-id-job-4103210&sectionRank=65&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Staff Finance dan Operasional,CV GANDA JAYA ABADI,Semarang,N/A,4 hari yang lalu
65,https://www.jobstreet.co.id//id/job/hrga-legal-staff-4101078?jobId=jobstreet-id-job-4101078&sectionRank=66&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,HRGA & Legal Staff,PT Media Sarana Data (GMedia),Semarang,"IDR 3,4 jt - 3,6 jt  per bulan ",5 hari yang lalu
66,https://www.jobstreet.co.id//id/job/sales-executive-aksesoris-otomotif-semarang-4106354?jobId=jobstreet-id-job-4106354&sectionRank=67&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Sales Executive - Aksesoris Otomotif (Semarang),PT Wook Global Technology,Semarang,N/A,1 hari yang lalu
67,https://www.jobstreet.co.id//id/job/to-sales-senior-semarang-4103932?jobId=jobstreet-id-job-4103932&sectionRank=68&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,TO SALES SENIOR (SEMARANG),PT. Gadingmas Wirajaya,Semarang,N/A,3 hari yang lalu
68,https://www.jobstreet.co.id//id/job/account-manager-sales-b2b-fiber-optic-semarang-4105612?jobId=jobstreet-id-job-4105612&sectionRank=69&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Account Manager (Sales B2B Fiber Optic) - Semarang,FIBERSTAR (PT. Mega Akses Persada),Semarang,N/A,1 hari yang lalu
69,https://www.jobstreet.co.id//id/job/ppic-staff-4097711?jobId=jobstreet-id-job-4097711&sectionRank=70&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,PPIC Staff,PT Perindustrian Bapak Djenggot (Orang Tua Group),"Bali, Semarang",N/A,7 hari yang lalu
70,https://www.jobstreet.co.id//id/job/erp-technical-consultant-4105502?jobId=jobstreet-id-job-4105502&sectionRank=71&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,ERP TECHNICAL CONSULTANT,PT SME Solution,"Surabaya, Semarang",N/A,1 hari yang lalu
71,https://www.jobstreet.co.id//id/job/admin-sales-4101835?jobId=jobstreet-id-job-4101835&sectionRank=72&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Admin Sales,PT SHINING STAR ELECTRONIC INDONESIA,Semarang,N/A,5 hari yang lalu
72,https://www.jobstreet.co.id//id/job/teknisi-fiber-optic-terminal-power-supply-4102477?jobId=jobstreet-id-job-4102477&sectionRank=73&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Teknisi Fiber Optic Terminal & Power Supply,PT Infratech Indonesia,"Semarang, Salatiga, Magelang, Purwokerto, Klaten, Gunung Kidul, Bantul, Sleman","IDR 2 jt - 3,5 jt  per bulan ",4 hari yang lalu
73,https://www.jobstreet.co.id//id/job/staff-general-affair-4101208?jobId=jobstreet-id-job-4101208&sectionRank=74&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Staff General Affair,PT. LIFETIME DESIGN,"Jepara, Semarang, Kudus","IDR 2,5 jt - 3,5 jt  per bulan ",5 hari yang lalu
74,https://www.jobstreet.co.id//id/job/security-4103946?jobId=jobstreet-id-job-4103946&sectionRank=75&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Security,PT Erela,Semarang,N/A,3 hari yang lalu
75,https://www.jobstreet.co.id//id/job/technician-engineer-4102481?jobId=jobstreet-id-job-4102481&sectionRank=76&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Technician Engineer,PT Master Cipta Sentosa,"Cikarang, Semarang, Sidoarjo, Tangerang",N/A,4 hari yang lalu
76,https://www.jobstreet.co.id//id/job/sales-eksekutif-wilayah-semarang-dan-sekitarnya-4093873?jobId=jobstreet-id-job-4093873&sectionRank=77&token=0~90b70070-4cec-492e-aa77-3d6540a09a49&fr=SRP%20View%20In%20New%20Tab,Sales Eksekutif (Wilayah Semarang dan Sekitarnya),PT. Putra Chandra Sentosa,Semarang,N/A,2 hari yang lalu
